iter	MultiClass
0	2.062107411
1	1.873203489
2	1.745121398
3	1.653483865
4	1.575734377
5	1.513111426
6	1.451900924
7	1.399734032
8	1.359070391
9	1.318741584
10	1.279456449
11	1.246727878
12	1.211108486
13	1.176274541
14	1.145968109
15	1.120756781
16	1.100511162
17	1.076520296
18	1.052475808
19	1.026498459
20	1.004191451
21	0.9855209642
22	0.967340734
23	0.9479945761
24	0.92969898
25	0.9157345084
26	0.9043538719
27	0.8875165865
28	0.8752201218
29	0.861012807
30	0.8488702413
31	0.8364954963
32	0.8273478206
33	0.8158328887
34	0.8062027425
35	0.7984548049
36	0.7895324669
37	0.7805325064
38	0.7689868878
39	0.759778084
40	0.7513662919
41	0.7426372246
42	0.7341909182
43	0.7200047298
44	0.7084765016
45	0.6989193074
46	0.6909139307
47	0.6842574986
48	0.6771998784
49	0.6695494991
50	0.6615543982
51	0.6565704988
52	0.6507859628
53	0.644711829
54	0.6386443454
55	0.6315164117
56	0.6248246988
57	0.6201480373
58	0.6135509515
59	0.6056276039
60	0.5989606324
61	0.5938926185
62	0.5884246165
63	0.5823957424
64	0.5757524712
65	0.5702428129
66	0.5662961127
67	0.5613395518
68	0.5557831004
69	0.5507696357
70	0.5462219778
71	0.5408134953
72	0.5329283184
73	0.5283343101
74	0.5219219486
75	0.5182633487
76	0.5139868028
77	0.5095343015
78	0.5053921431
79	0.5013297879
80	0.4966132531
81	0.4932915938
82	0.4893744623
83	0.4824134248
84	0.478536084
85	0.4747904562
86	0.470852089
87	0.4655077925
88	0.460280482
89	0.455917955
90	0.4512630089
91	0.4481680519
92	0.4441721334
93	0.4391309578
94	0.434722157
95	0.4288993648
96	0.4241211473
97	0.4203544244
98	0.416458588
99	0.4120454771
