iter	Passed	Remaining
0	78	7794
1	99	4873
2	118	3830
3	138	3320
4	157	3001
5	177	2775
6	196	2607
7	215	2473
8	234	2368
9	253	2279
10	272	2202
11	292	2142
12	311	2083
13	348	2143
14	367	2084
15	387	2032
16	406	1984
17	425	1939
18	446	1901
19	465	1861
20	484	1823
21	507	1799
22	529	1773
23	549	1738
24	568	1704
25	587	1673
26	607	1642
27	626	1611
28	646	1582
29	665	1552
30	684	1524
31	705	1499
32	726	1475
33	746	1448
34	764	1420
35	784	1394
36	803	1368
37	822	1342
38	842	1317
39	862	1293
40	880	1267
41	902	1245
42	922	1222
43	941	1197
44	960	1173
45	979	1150
46	999	1126
47	1018	1103
48	1037	1080
49	1058	1058
50	1081	1038
51	1105	1020
52	1125	998
53	1144	975
54	1163	952
55	1183	930
56	1203	907
57	1222	885
58	1242	863
59	1262	841
60	1282	819
61	1302	798
62	1323	777
63	1342	755
64	1362	733
65	1383	712
66	1403	691
67	1423	669
68	1442	648
69	1464	627
70	1488	607
71	1517	589
72	1541	569
73	1564	549
74	1584	528
75	1604	506
76	1623	485
77	1645	463
78	1672	444
79	1696	424
80	1718	403
81	1739	381
82	1758	360
83	1779	338
84	1798	317
85	1818	296
86	1838	274
87	1858	253
88	1877	232
89	1896	210
90	1915	189
91	1936	168
92	1955	147
93	1975	126
94	1995	105
95	2014	83
96	2033	62
97	2053	41
98	2072	20
99	2091	0
